Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
194,3.880000,-0.335640,0.237282,0.029770,-0.911130,-0.047055,0.135569,-0.005418,0.000196
195,3.900000,-0.334930,0.241710,0.027938,-0.910285,-0.046939,0.136079,-0.005259,0.000740
196,3.920000,-0.333188,0.242076,0.027620,-0.910836,-0.047070,0.136591,-0.005024,0.000715
197,3.940000,-0.331379,0.241878,0.027205,-0.911561,-0.047355,0.137185,-0.004768,0.000722
198,3.960000,-0.328214,0.242080,0.026994,-0.912658,-0.047673,0.137956,-0.004452,0.000762
199,3.980000,-0.326718,0.245107,0.026607,-0.912398,-0.047934,0.138641,-0.004218,0.000875
200,4.000000,-0.325485,0.246187,0.026424,-0.912553,-0.048183,0.139097,-0.004050,0.000684
201,4.020000,-0.323901,0.247132,0.026622,-0.912856,-0.048417,0.139528,-0.003939,0.000688
202,4.040000,-0.321657,0.246930,0.025705,-0.913730,-0.048790,0.140099,-0.003769,0.000702
203,4.060000,-0.319214,0.248462,0.025723,-0.914171,-0.049173,0.140758,-0.003606,0.000625
204,4.080000,-0.317377,0.249604,0.024632,-0.914529,-0.049543,0.141319,-0.003421,0.000561
205,4.100000,-0.315572,0.250284,0.023929,-0.914986,-0.049915,0.141755,-0.003355,0.000544
206,4.120000,-0.313504,0.251795,0.024582,-0.915265,-0.050376,0.142172,-0.003267,0.000617
207,4.140000,-0.311640,0.250705,0.024679,-0.916198,-0.051017,0.142624,-0.003179,0.000582
208,4.160000,-0.310431,0.252169,0.024330,-0.916216,-0.051479,0.142995,-0.003173,0.000527
209,4.180000,-0.310000,0.257158,0.024994,-0.914956,-0.051760,0.143394,-0.003231,0.000538
